startupId,name,description,domain,startYear,location,contact,minFunding,growth_year1,growth_year2,growth_year3
1,SunPower Solutions,Develops innovative solar panel technologies for residential and commercial use.,clean energy,2018,"San Francisco, CA",sunpowersolutions@gmail.com,500000,1.25,1.6,2.1
2,NutriBowl,Healthy meal kit delivery service focusing on sustainable and organic ingredients.,food,2020,"New York, NY",nutribowl@gmail.com,150000,1.8,2.3,1.95
3,CoinFlow,Blockchain-based platform for secure and transparent peer-to-peer lending.,fintech,2019,"London, UK",coinflow@gmail.com,750000,1.4,1.75,2.5
4,AgriSense,"IoT solutions for precision agriculture, optimizing crop yield and resource management.",agritech,2021,"Des Moines, IA",agrisense@gmail.com,300000,1.9,2.15,1.8
5,MediGenie,AI-powered diagnostic tools for early detection of chronic diseases.,healthtech,2017,"Boston, MA",medigenie@gmail.com,100000,1.3,1.65,2
6,StyleHub,Personalized online fashion marketplace using AI to recommend outfits.,e-commerce,2019,"Los Angeles, CA",stylehub@gmail.com,500000,1.7,2.2,2.4
7,Wanderlust AI,AI-driven personalized travel planning and booking platform.,travel,2020,"Berlin, Germany",wanderlustai@gmail.com,800000,1.5,1.9,2.1
8,Cognito AI,Develops natural language processing (NLP) solutions for enterprise customer service.,ai,2018,"Seattle, WA",cognitoai@gmail.com,120000,1.6,2,2.3
9,LearnSmart,Adaptive learning platform using AI to tailor educational content to individual students.,edtech,2019,"Austin, TX",learnsmart@gmail.com,400000,1.85,2.1,2.25
10,EcoCharge,Network of smart EV charging stations powered by renewable energy.,clean energy,2021,"Oslo, Norway",ecocharge@gmail.com,900000,1.7,2.05,2.4
11,FarmFresh Direct,Platform connecting local farmers directly with consumers for fresh produce delivery.,food,2020,"Portland, OR",farmfreshdirect@gmail.com,200000,2.1,2.5,2.2
12,Lendify,AI-powered credit scoring and micro-lending platform for underserved populations.,fintech,2018,"Bangalore, India",lendify@gmail.com,600000,1.55,1.95,2.35
13,CropGuardian,Drone-based imagery and AI analysis for early detection of crop diseases and pests.,agritech,2022,"Saskatoon, Canada",cropguardian@gmail.com,180000,1.65,1.8,2
14,HealthTracker,Wearable health monitoring devices integrated with a personalized wellness app.,healthtech,2019,"Seoul, South Korea",healthtracker@gmail.com,900000,1.45,1.7,1.9
15,CraftyGoods,"Online marketplace for handcrafted artisan products, supporting small businesses.",e-commerce,2021,"Denver, CO",craftygoods@gmail.com,150000,2,2.3,2.1
16,RouteFinder,AI-optimized logistics and route planning software for delivery services.,travel,2020,Singapore,routefinder@gmail.com,500000,1.6,1.9,2.2
17,Vision AI,Computer vision solutions for industrial automation and quality control.,ai,2017,"Shenzhen, China",visionai@gmail.com,100000,1.35,1.65,1.95
18,SkillUp Online,Online platform offering vocational training and certification courses with job placement assistance.,edtech,2019,"Toronto, Canada",skilluponline@gmail.com,600000,1.9,2.2,2.5
19,AquaClean Tech,Sustainable water purification systems for rural communities.,clean energy,2022,"Nairobi, Kenya",aquacleantech@gmail.com,700000,1.75,2.1,2.3
20,Vegan Bites,Plant-based food products and meal solutions for health-conscious consumers.,food,2021,"Berlin, Germany",veganbites@gmail.com,800000,2.2,2.6,2.4
21,EquityFlow,Robo-advisor platform for personalized investment strategies and portfolio management.,fintech,2019,"Sydney, Australia",equityflow@gmail.com,400000,1.3,1.6,1.9
22,SoilGenius,AI-driven soil analysis and nutrient recommendation system for optimizing crop yields.,agritech,2020,"Champaign, IL",soilgenius@gmail.com,550000,1.8,2,1.7
23,TeleMed Connect,Telemedicine platform connecting patients with specialist doctors for remote consultations.,healthtech,2018,"Mumbai, India",telemedconnect@gmail.com,900000,1.5,1.8,2.1
24,GadgetVerse,Online store for cutting-edge electronics and smart home devices.,e-commerce,2020,"Tokyo, Japan",gadgetverse@gmail.com,650000,1.7,2.1,2.3
25,EcoTours,Sustainable and eco-friendly travel experiences focusing on nature and cultural immersion.,travel,2021,Costa Rica,ecotours@gmail.com,450000,1.8,2.2,2
26,DataBrain AI,AI-powered data analytics platform for business intelligence and predictive modeling.,ai,2019,"London, UK",databrainai@gmail.com,700000,1.5,1.8,2.1
27,CodeAcademy Pro,Online coding bootcamps and workshops with a focus on job-ready skills.,edtech,2018,"San Francisco, CA",codeacademypro@gmail.com,450000,1.75,2.05,2.35
28,WindHarvest Tech,Develops small-scale wind turbines for urban and residential power generation.,clean energy,2020,"Copenhagen, Denmark",windharvesttech@gmail.com,600000,1.6,1.9,2.2
29,Gourmet Garden,Subscription box service delivering exotic and gourmet ingredients for home cooking.,food,2021,"Paris, France",gourmetgarden@gmail.com,300000,1.9,2.2,2
